Date,exchange_rate,exchange_rate_var
2008-09-30,1.7995681818181817,11.61398232112909
2008-10-31,2.1728521739130433,20.742975779762716
2008-11-30,2.26629,4.300238516396027
2008-12-31,2.3944136363636366,5.653452839823525
2009-01-31,2.307442857142857,-3.632237049604381
2009-02-28,2.3126722222222225,0.22663031776399833
2009-03-31,2.313836363636364,0.050337501482289326
2009-04-30,2.20585,-4.6669836006317915
2009-05-31,2.060905,-6.570936373733471
2009-06-30,1.9575571428571428,-5.014683216492621
2009-07-31,1.9327521739130433,-1.2671389458340676
2009-08-31,1.8451809523809526,-4.530907930880468
2009-09-30,1.819795238095238,-1.3757845404244962
2009-10-31,1.7384190476190475,-4.47172235494836
2009-11-30,1.7261600000000001,-0.7051836918053445
2009-12-31,1.7503136363636365,1.3992698454162067
2010-01-31,1.7798200000000002,1.6857757960261788
2010-02-28,1.8416333333333332,3.473010379326724
2010-03-31,1.7858434782608694,-3.029368227794016
2010-04-30,1.75657,-1.6391961903277852
2010-05-31,1.813190476190476,3.2233543889782945
2010-06-30,1.8065285714285715,-0.36741339916483984
2010-07-31,1.7696363636363637,-2.0421602168757325
2010-08-31,1.7595636363636364,-0.569197575259428
2010-09-30,1.7187095238095238,-2.32183205596036
2010-10-31,1.6835,-2.048602356696194
2010-11-30,1.7133299999999998,1.7719037719037711
2010-12-31,1.693413043478261,-1.1624705410947511
2011-01-31,1.6749142857142858,-1.0923949024261081
2011-02-28,1.66799,-0.41341134727577167
2011-03-31,1.6590999999999998,-0.532976816407793
2011-04-30,1.5864473684210525,-4.379038730573647
2011-05-31,1.613490909090909,1.7046604386738773
2011-06-30,1.5870428571428572,-1.6391819624787085
2011-07-31,1.5639380952380952,-1.4558373014801451
2011-08-31,1.597008695652174,2.114572214512367
2011-09-30,1.7497761904761906,9.565852411444165
2011-10-31,1.77257,1.3026700013335057
2011-11-30,1.7904900000000001,1.0109614853010207
2011-12-31,1.8368863636363635,2.5912662810941844
2012-01-31,1.7896818181818182,-2.5698130482659565
2012-02-29,1.7183947368421055,-3.983226549853147
2012-03-31,1.795309090909091,4.475942134711786
2012-04-30,1.854835,3.315635697069119
2012-05-31,1.9859909090909091,7.071028371305754
2012-06-30,2.049195,3.182496486754949
2012-07-31,2.0287363636363636,-0.9983743061854344
