Date,output,output_potential,output_gap
2006-08-01,106.41823,107.7158729877969,-1.2976429877969053
2006-09-01,105.17296,107.99949239612366,-2.8265323961236533
2006-10-01,106.16329,108.27985435192183,-2.1165643519218236
2006-11-01,107.55591,108.55681334103824,-1.0009033410382386
2006-12-01,108.25263,108.83020751780464,-0.5775775178046416
2007-01-01,108.01813,109.09986731353327,-1.0817373135332673
2007-02-01,109.3736,109.36561870291965,0.007981297080348781
2007-03-01,110.81673,109.62727931392078,1.1894506860792262
2007-04-01,111.93977,109.88466683607771,2.0551031639222828
2007-05-01,112.20047,110.13760813679174,2.062861863208255
2007-06-01,112.90762,110.38594594074169,2.5216740592583022
2007-07-01,112.53958,110.62953888975038,1.9100411102496224
2007-08-01,114.16397,110.86826508300211,3.2957049169978916
2007-09-01,112.842,111.10201735765283,1.7399826423471723
2007-10-01,116.04185,111.33071398068036,4.711136019319639
2007-11-01,114.9478,111.55428664485454,3.3935133551454584
2007-12-01,115.26867,111.77270339430339,3.4959666056966086
2008-01-01,117.1876,111.98595845767147,5.201641542328531
2008-02-01,116.88906,112.1940730386543,4.694986961345705
2008-03-01,117.13921,112.39710847707038,4.74210152292963
2008-04-01,117.24638,112.59516233948945,4.651217660510554
2008-05-01,118.13052,112.78836878277077,5.34215121722923
2008-06-01,119.62311,112.97689785279877,6.646212147201226
2008-07-01,120.20637,113.16096081576049,7.045409184239517
2008-08-01,118.83008,113.34082022034413,5.4892597796558675
2008-09-01,120.16257,113.51679297796301,6.645777022036995
2008-10-01,116.88563,113.6892383554301,3.1963916445699
2008-11-01,109.79333,113.85856689870198,-4.065236898701983
2008-12-01,97.65233,114.02521381725101,-16.372883817251008
2009-01-01,99.73449,114.18958295298083,-14.455092952980834
2009-02-01,102.07294,114.35195181381499,-12.27901181381499
2009-03-01,102.54293,114.51248637146605,-11.969556371466055
2009-04-01,103.8842,114.67125785218502,-10.787057852185015
2009-05-01,105.15808,114.82824512453489,-9.67016512453489
2009-06-01,106.66085,114.98334382360756,-8.322493823607559
2009-07-01,108.00185,115.13637496902332,-7.1345249690233175
2009-08-01,109.69486,115.28709536362915,-5.592235363629143
2009-09-01,111.19407,115.43520675992505,-4.241136759925055
2009-10-01,113.61499,115.58036776044675,-1.9653777604467422
2009-11-01,115.11317,115.72220424290936,-0.6090342429093596
2009-12-01,115.57168,115.86032692007616,-0.288646920076161
2010-01-01,117.28625,115.99434180537212,1.2919081946278794
2010-02-01,117.08396,116.12385268500826,0.9601073149917454
2010-03-01,119.73942,116.24847331362308,3.4909466863769154
2010-04-01,120.19787,116.36782485409054,3.8300451459094518
2010-05-01,119.82599,116.48155540560157,3.344434594398436
