Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2007-12,3.95,3.96,,,4.3,11.25,1.7859850000000002,0.9073830812040162,115.26867,111.77270339430339,3.4959666056966086,4.5,,,,4.46,2007,12,4.5,-0.20000000000000018,-0.5499999999999998
2008-01,4.41,4.35,,,4.3,11.25,1.774259090909091,-0.6565513759023256,117.1876,111.98595845767147,5.201641542328531,4.5,2.0,6.5,2.5,4.56,2008,1,4.5,-0.20000000000000018,-0.08999999999999986
2008-03,4.3,4.25,,,4.3,11.25,1.70758,-1.1669626619469908,117.13921,112.39710847707038,4.74210152292963,4.5,,,,4.73,2008,3,4.5,-0.20000000000000018,-0.20000000000000018
2008-04,4.42,4.38,,,4.466666666666667,11.75,1.6889285714285716,-1.092272606345157,117.24638,112.59516233948945,4.651217660510554,4.5,,,,5.04,2008,4,4.5,-0.033333333333333215,-0.08000000000000007
2008-06,5.02,4.76,,,4.8,12.25,1.618857142857143,-2.509905370429233,119.62311,112.97689785279877,6.646212147201226,4.5,,,,6.06,2008,6,4.5,0.2999999999999998,0.5199999999999996
2008-07,5.48,5.36,,,4.833333333333333,13.0,1.5914130434782607,-1.6952761705980923,120.20637,113.16096081576049,7.045409184239517,4.5,,,,6.37,2008,7,4.5,0.33333333333333304,0.9800000000000005
2008-09,5.23,5.24,,,4.9,13.75,1.7995681818181817,11.61398232112909,120.16257,113.51679297796301,6.645777022036995,4.5,,,,6.25,2008,9,4.5,0.40000000000000036,0.7300000000000004
2008-10,5.3,5.27,,,4.833333333333334,13.75,2.1728521739130433,20.742975779762716,116.88563,113.6892383554301,3.1963916445699,4.5,,,,6.41,2008,10,4.5,0.3333333333333339,0.7999999999999998
2008-12,5.23,5.3,,,4.7,13.75,2.3944136363636366,5.653452839823525,97.65233,114.02521381725101,-16.372883817251008,4.5,,,,5.9,2008,12,4.5,0.20000000000000018,0.7300000000000004
2009-01,4.74,4.78,,,4.566666666666666,12.75,2.307442857142857,-3.632237049604381,99.73449,114.18958295298083,-14.455092952980834,4.5,2.0,6.5,2.5,5.84,2009,1,4.5,0.06666666666666643,0.2400000000000002
